DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
54874001,,VILLA DEL ROSARIO - NORTE DE SANTANDER (DPTAL)DPTAL,A,VILLA DEL ROSARIO,Norte de Santander,ACTIVO
54874000,90000481111,VILLA DEL ROSARIO-NORTE DE SANTANDER (MCPAL) MCPAL,A,VILLA DEL ROSARIO,Norte de Santander,ACTIVO
17873001,89080105211,VILLAMARIA-CALDAS (DPTAL) DPTAL,A,VILLAMARIA,Caldas,ACTIVO
50001000,80011498441,VILLAVICENCIO-META (MCPAL) MCPAL,A,VILLAVICENCIO,Meta,ACTIVO
25875001,83003175701,VILLETA-CUNDINAMARCA (DPTAL) DPTAL,A,VILLETA,Cundinamarca,ACTIVO
5887000,89098009611,YARUMAL-ANTIOQUIA (MCPAL) MCPAL,A,YARUMAL,Antioquia,ACTIVO
85001000,89185501771,YOPAL-CASANARE (MCPAL) MCPAL,A,YOPAL,Casanare,ACTIVO
76892000,89039902561,YUMBO-VALLE (MCPAL) MCPAL,A,YUMBO,Valle del Cauca,ACTIVO
76895000,,ZARZAL-VALLE (MCPAL) MCPAL,A,ZARZAL,Valle del Cauca,ACTIVO
25899001,83003175701,ZIPAQUIRA-CUNDINAMARCA (DPTAL ) DPTAL,A,ZIPAQUIRA,Cundinamarca,ACTIVO
